Nodo A,Nodo B,Peso (Forza Legame)
97,99,14
22,136,13
0,6,12
14,136,12
21,136,12
0,136,12
6,147,12
97,100,12
6,153,11
112,139,11
33,41,11
15,22,10
111,112,10
41,87,10
36,41,10
9,26,10
41,94,10
26,41,10
88,97,10
97,136,10
111,124,10
1,9,9
6,7,9
6,23,9
6,103,9
71,153,9
87,123,9
86,106,9
88,104,9
111,118,9
1,15,9
66,136,9
97,98,9
34,36,9
40,41,9
15,20,9
9,17,9
103,137,9
91,106,9
15,19,9
112,147,9
41,43,8
41,102,8
86,123,8
81,123,8
6,145,8
26,107,8
6,90,8
0,4,8
1,13,8
6,11,8
6,16,8
6,69,8
75,86,8
72,153,8
53,111,8
66,68,8
93,94,8
132,157,8
106,128,8
94,130,8
89,94,8
17,25,8
12,97,8
43,158,8
43,108,8
109,115,7
104,141,7
87,96,7
88,133,7
79,84,7
49,153,7
58,106,7
41,120,7
41,85,7
43,143,7
43,119,7
1,56,7
1,8,7
113,123,7
109,118,7
107,151,7
41,76,7
43,46,7
36,148,7
41,73,7
33,78,7
18,151,7
33,79,7
34,146,7
35,41,7
28,36,7
6,152,7
26,42,7
26,62,7
30,42,6
42,65,6
64,142,6
87,110,6
31,150,6
26,31,6
6,135,6
20,132,6
123,144,6
91,142,6
47,135,6
57,147,6
0,70,6
5,77,6
5,33,5
0,3,5
109,156,5
110,121,5
92,94,5
107,116,5
132,154,5
105,111,5
48,88,5
54,56,5
33,80,5
26,27,5
30,37,5
33,67,5
17,155,5
36,45,5
33,39,5
0,61,4
53,122,4
90,95,4
75,117,4
87,114,4
54,55,4
33,44,4
1,10,4
5,82,4
0,74,4
26,38,4
12,101,4
6,140,4
12,129,4
18,51,4
32,38,4
12,52,4
50,96,4
1,59,3
1,134,3
0,2,3
0,138,3
0,83,3
0,24,3
26,29,3
82,131,3
60,139,3
32,125,3
6,127,3
143,149,3
22,126,2
6,63,2
97,159,2
