Nodo A,Nodo B,Peso (Forza Legame)
69,73,14
31,32,12
42,69,12
25,26,11
60,69,11
34,72,10
26,42,10
32,69,10
32,68,10
34,60,10
65,72,10
67,93,10
62,69,9
42,43,9
34,63,9
32,56,9
13,69,9
69,93,9
34,64,8
60,94,8
69,92,8
69,74,8
47,60,8
25,29,8
26,45,8
30,42,8
34,97,7
18,23,7
51,94,7
39,42,7
25,28,7
69,79,7
18,34,7
15,42,7
21,69,6
69,90,6
63,66,6
77,79,6
60,91,6
25,71,6
25,54,6
50,60,6
44,72,6
21,27,6
16,69,6
3,70,6
3,42,6
25,41,6
9,70,6
38,42,6
57,58,5
10,59,5
4,96,5
5,69,5
6,96,5
4,10,5
3,96,5
14,69,5
17,42,5
20,94,5
51,53,5
28,46,5
32,57,5
40,42,5
75,89,5
1,9,4
13,19,4
75,79,4
24,39,4
37,69,4
39,99,4
3,11,4
0,6,4
30,49,4
6,7,4
6,8,4
3,98,4
3,85,4
3,95,4
21,36,4
5,35,3
5,52,3
2,3,3
77,78,3
75,86,3
38,48,3
12,65,3
21,33,3
25,61,3
13,22,2
6,82,2
65,80,2
31,87,2
60,84,2
60,81,2
0,55,1
31,76,1
60,88,1
60,83,1
